"year","trend","month","region","flagname","fleetcode","geargrpcode","longitude","latitude","eff1","eff1type","dsettype","catchunit","species","measured_catch","total_catch_kgs","depth_m","m_ann_sst","m_ann_chla","ldepth_m","bin"
1999,589,1,"AT","China P.R.","CHN","LL",-22.5,-2.5,168000,"NO.HOOKS","-w","kg","bet",78000,7347000,-5484,19.89,0.15,8.60959004068221,1
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","bet",24300,7347000,-2833,19.63,0.09,7.94909149983052,1
1999,589,1,"AT","China P.R.","CHN","LL",-17.5,-7.5,86000,"NO.HOOKS","-w","kg","bet",28300,7347000,-4297,19.78,0.08,8.365672383775,1
1999,589,1,"AT","China P.R.","CHN","LL",-7.5,2.5,5e+05,"NO.HOOKS","-w","kg","bet",153000,7347000,-4999,20.48,0.12,8.51699317141357,1
1999,589,1,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","bet",28300,7347000,-3506,20.73,0.12,8.16223106548118,1
1999,589,1,"AT","China P.R.","CHN","LL",-32.5,2.5,170000,"NO.HOOKS","-w","kg","bet",64400,7347000,-3574,20.81,0.12,8.18144069571937,1
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-2.5,84000,"NO.HOOKS","-w","kg","skj",0,NA,-2371,19.12,0.28,7.77106708606541,0
1999,589,1,"AT","China P.R.","CHN","LL",-22.5,-2.5,168000,"NO.HOOKS","-w","kg","skj",0,NA,-5484,19.89,0.15,8.60959004068221,0
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","skj",0,NA,-2833,19.63,0.09,7.94909149983052,0
1999,589,1,"AT","China P.R.","CHN","LL",-17.5,-7.5,86000,"NO.HOOKS","-w","kg","skj",0,NA,-4297,19.78,0.08,8.365672383775,0
1999,589,1,"AT","China P.R.","CHN","LL",-7.5,2.5,5e+05,"NO.HOOKS","-w","kg","skj",0,NA,-4999,20.48,0.12,8.51699317141357,0
1999,589,1,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","skj",0,NA,-3506,20.73,0.12,8.16223106548118,0
1999,589,1,"AT","China P.R.","CHN","LL",-32.5,2.5,170000,"NO.HOOKS","-w","kg","skj",0,NA,-3574,20.81,0.12,8.18144069571937,0
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-2.5,84000,"NO.HOOKS","-w","kg","yft",7000,2190000,-2371,19.12,0.28,7.77106708606541,1
1999,589,1,"AT","China P.R.","CHN","LL",-22.5,-2.5,168000,"NO.HOOKS","-w","kg","yft",28300,2190000,-5484,19.89,0.15,8.60959004068221,1
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","yft",7800,2190000,-2833,19.63,0.09,7.94909149983052,1
1999,589,1,"AT","China P.R.","CHN","LL",-17.5,-7.5,86000,"NO.HOOKS","-w","kg","yft",14100,2190000,-4297,19.78,0.08,8.365672383775,1
1999,589,1,"AT","China P.R.","CHN","LL",-7.5,2.5,5e+05,"NO.HOOKS","-w","kg","yft",21600,2190000,-4999,20.48,0.12,8.51699317141357,1
1999,589,1,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","yft",13600,2190000,-3506,20.73,0.12,8.16223106548118,1
1999,589,1,"AT","China P.R.","CHN","LL",-32.5,2.5,170000,"NO.HOOKS","-w","kg","yft",24900,2190000,-3574,20.81,0.12,8.18144069571937,1
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-2.5,84000,"NO.HOOKS","-w","kg","swo",2400,838000,-2371,19.12,0.28,7.77106708606541,1
1999,589,1,"AT","China P.R.","CHN","LL",-22.5,-2.5,168000,"NO.HOOKS","-w","kg","swo",11300,838000,-5484,19.89,0.15,8.60959004068221,1
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","swo",3300,838000,-2833,19.63,0.09,7.94909149983052,1
1999,589,1,"AT","China P.R.","CHN","LL",-17.5,-7.5,86000,"NO.HOOKS","-w","kg","swo",3900,838000,-4297,19.78,0.08,8.365672383775,1
1999,589,1,"AT","China P.R.","CHN","LL",-7.5,2.5,5e+05,"NO.HOOKS","-w","kg","swo",11600,838000,-4999,20.48,0.12,8.51699317141357,1
1999,589,1,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","swo",4200,838000,-3506,20.73,0.12,8.16223106548118,1
1999,589,1,"AT","China P.R.","CHN","LL",-32.5,2.5,170000,"NO.HOOKS","-w","kg","swo",8400,838000,-3574,20.81,0.12,8.18144069571937,1
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-2.5,84000,"NO.HOOKS","-w","kg","bum",0,201000,-2371,19.12,0.28,7.77106708606541,0
1999,589,1,"AT","China P.R.","CHN","LL",-22.5,-2.5,168000,"NO.HOOKS","-w","kg","bum",0,201000,-5484,19.89,0.15,8.60959004068221,0
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","bum",0,201000,-2833,19.63,0.09,7.94909149983052,0
1999,589,1,"AT","China P.R.","CHN","LL",-17.5,-7.5,86000,"NO.HOOKS","-w","kg","bum",0,201000,-4297,19.78,0.08,8.365672383775,0
1999,589,1,"AT","China P.R.","CHN","LL",-7.5,2.5,5e+05,"NO.HOOKS","-w","kg","bum",0,201000,-4999,20.48,0.12,8.51699317141357,0
1999,589,1,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","bum",0,201000,-3506,20.73,0.12,8.16223106548118,0
1999,589,1,"AT","China P.R.","CHN","LL",-32.5,2.5,170000,"NO.HOOKS","-w","kg","bum",0,201000,-3574,20.81,0.12,8.18144069571937,0
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-2.5,84000,"NO.HOOKS","-w","kg","sai",0,17000,-2371,19.12,0.28,7.77106708606541,0
1999,589,1,"AT","China P.R.","CHN","LL",-22.5,-2.5,168000,"NO.HOOKS","-w","kg","sai",0,17000,-5484,19.89,0.15,8.60959004068221,0
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","sai",0,17000,-2833,19.63,0.09,7.94909149983052,0
1999,589,1,"AT","China P.R.","CHN","LL",-17.5,-7.5,86000,"NO.HOOKS","-w","kg","sai",0,17000,-4297,19.78,0.08,8.365672383775,0
1999,589,1,"AT","China P.R.","CHN","LL",-7.5,2.5,5e+05,"NO.HOOKS","-w","kg","sai",0,17000,-4999,20.48,0.12,8.51699317141357,0
1999,589,1,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","sai",0,17000,-3506,20.73,0.12,8.16223106548118,0
1999,589,1,"AT","China P.R.","CHN","LL",-32.5,2.5,170000,"NO.HOOKS","-w","kg","sai",0,17000,-3574,20.81,0.12,8.18144069571937,0
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-2.5,84000,"NO.HOOKS","-w","kg","whm",0,30000,-2371,19.12,0.28,7.77106708606541,0
1999,589,1,"AT","China P.R.","CHN","LL",-22.5,-2.5,168000,"NO.HOOKS","-w","kg","whm",0,30000,-5484,19.89,0.15,8.60959004068221,0
1999,589,1,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","whm",0,30000,-2833,19.63,0.09,7.94909149983052,0
1999,589,1,"AT","China P.R.","CHN","LL",-17.5,-7.5,86000,"NO.HOOKS","-w","kg","whm",0,30000,-4297,19.78,0.08,8.365672383775,0
1999,589,1,"AT","China P.R.","CHN","LL",-7.5,2.5,5e+05,"NO.HOOKS","-w","kg","whm",0,30000,-4999,20.48,0.12,8.51699317141357,0
1999,589,1,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","whm",0,30000,-3506,20.73,0.12,8.16223106548118,0
1999,589,1,"AT","China P.R.","CHN","LL",-32.5,2.5,170000,"NO.HOOKS","-w","kg","whm",0,30000,-3574,20.81,0.12,8.18144069571937,0
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,32.5,40000,"NO.HOOKS","-w","kg","alb",0,60000,-3871,15.98,0.11,8.26126815057765,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-2.5,85000,"NO.HOOKS","-w","kg","alb",0,60000,-2371,19.12,0.28,7.77106708606541,0
1999,590,2,"AT","China P.R.","CHN","LL",-22.5,-2.5,84000,"NO.HOOKS","-w","kg","alb",0,60000,-5484,19.89,0.15,8.60959004068221,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","alb",0,60000,-2833,19.63,0.09,7.94909149983052,0
1999,590,2,"AT","China P.R.","CHN","LL",-7.5,2.5,512000,"NO.HOOKS","-w","kg","alb",3100,60000,-4999,20.48,0.12,8.51699317141357,1
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,2.5,85000,"NO.HOOKS","-w","kg","alb",0,60000,-5038,20.58,0.14,8.52476445691256,0
1999,590,2,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","alb",0,60000,-3506,20.73,0.12,8.16223106548118,0
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,2.5,165000,"NO.HOOKS","-w","kg","alb",0,60000,-3574,20.81,0.12,8.18144069571937,0
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,7.5,84000,"NO.HOOKS","-w","kg","alb",0,60000,-4372,20.46,0.12,8.38297584929643,0
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,32.5,40000,"NO.HOOKS","-w","kg","bft",10300,103000,-3871,15.98,0.11,8.26126815057765,1
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-2.5,85000,"NO.HOOKS","-w","kg","bft",0,103000,-2371,19.12,0.28,7.77106708606541,0
1999,590,2,"AT","China P.R.","CHN","LL",-22.5,-2.5,84000,"NO.HOOKS","-w","kg","bft",0,103000,-5484,19.89,0.15,8.60959004068221,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","bft",0,103000,-2833,19.63,0.09,7.94909149983052,0
1999,590,2,"AT","China P.R.","CHN","LL",-7.5,2.5,512000,"NO.HOOKS","-w","kg","bft",0,103000,-4999,20.48,0.12,8.51699317141357,0
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,2.5,85000,"NO.HOOKS","-w","kg","bft",0,103000,-5038,20.58,0.14,8.52476445691256,0
1999,590,2,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","bft",0,103000,-3506,20.73,0.12,8.16223106548118,0
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,2.5,165000,"NO.HOOKS","-w","kg","bft",0,103000,-3574,20.81,0.12,8.18144069571937,0
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,7.5,84000,"NO.HOOKS","-w","kg","bft",0,103000,-4372,20.46,0.12,8.38297584929643,0
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,32.5,40000,"NO.HOOKS","-w","kg","bet",0,7347000,-3871,15.98,0.11,8.26126815057765,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-2.5,85000,"NO.HOOKS","-w","kg","bet",23800,7347000,-2371,19.12,0.28,7.77106708606541,1
1999,590,2,"AT","China P.R.","CHN","LL",-22.5,-2.5,84000,"NO.HOOKS","-w","kg","bet",32800,7347000,-5484,19.89,0.15,8.60959004068221,1
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","bet",24300,7347000,-2833,19.63,0.09,7.94909149983052,1
1999,590,2,"AT","China P.R.","CHN","LL",-7.5,2.5,512000,"NO.HOOKS","-w","kg","bet",145800,7347000,-4999,20.48,0.12,8.51699317141357,1
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,2.5,85000,"NO.HOOKS","-w","kg","bet",28300,7347000,-5038,20.58,0.14,8.52476445691256,1
1999,590,2,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","bet",28300,7347000,-3506,20.73,0.12,8.16223106548118,1
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,2.5,165000,"NO.HOOKS","-w","kg","bet",64400,7347000,-3574,20.81,0.12,8.18144069571937,1
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,7.5,84000,"NO.HOOKS","-w","kg","bet",28300,7347000,-4372,20.46,0.12,8.38297584929643,1
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,32.5,40000,"NO.HOOKS","-w","kg","skj",0,NA,-3871,15.98,0.11,8.26126815057765,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-2.5,85000,"NO.HOOKS","-w","kg","skj",0,NA,-2371,19.12,0.28,7.77106708606541,0
1999,590,2,"AT","China P.R.","CHN","LL",-22.5,-2.5,84000,"NO.HOOKS","-w","kg","skj",0,NA,-5484,19.89,0.15,8.60959004068221,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","skj",0,NA,-2833,19.63,0.09,7.94909149983052,0
1999,590,2,"AT","China P.R.","CHN","LL",-7.5,2.5,512000,"NO.HOOKS","-w","kg","skj",0,NA,-4999,20.48,0.12,8.51699317141357,0
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,2.5,85000,"NO.HOOKS","-w","kg","skj",0,NA,-5038,20.58,0.14,8.52476445691256,0
1999,590,2,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","skj",0,NA,-3506,20.73,0.12,8.16223106548118,0
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,2.5,165000,"NO.HOOKS","-w","kg","skj",0,NA,-3574,20.81,0.12,8.18144069571937,0
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,7.5,84000,"NO.HOOKS","-w","kg","skj",0,NA,-4372,20.46,0.12,8.38297584929643,0
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,32.5,40000,"NO.HOOKS","-w","kg","yft",0,2190000,-3871,15.98,0.11,8.26126815057765,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-2.5,85000,"NO.HOOKS","-w","kg","yft",6800,2190000,-2371,19.12,0.28,7.77106708606541,1
1999,590,2,"AT","China P.R.","CHN","LL",-22.5,-2.5,84000,"NO.HOOKS","-w","kg","yft",11300,2190000,-5484,19.89,0.15,8.60959004068221,1
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","yft",7900,2190000,-2833,19.63,0.09,7.94909149983052,1
1999,590,2,"AT","China P.R.","CHN","LL",-7.5,2.5,512000,"NO.HOOKS","-w","kg","yft",21000,2190000,-4999,20.48,0.12,8.51699317141357,1
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,2.5,85000,"NO.HOOKS","-w","kg","yft",14100,2190000,-5038,20.58,0.14,8.52476445691256,1
1999,590,2,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","yft",13600,2190000,-3506,20.73,0.12,8.16223106548118,1
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,2.5,165000,"NO.HOOKS","-w","kg","yft",24900,2190000,-3574,20.81,0.12,8.18144069571937,1
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,7.5,84000,"NO.HOOKS","-w","kg","yft",11300,2190000,-4372,20.46,0.12,8.38297584929643,1
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,32.5,40000,"NO.HOOKS","-w","kg","swo",0,838000,-3871,15.98,0.11,8.26126815057765,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-2.5,85000,"NO.HOOKS","-w","kg","swo",2400,838000,-2371,19.12,0.28,7.77106708606541,1
1999,590,2,"AT","China P.R.","CHN","LL",-22.5,-2.5,84000,"NO.HOOKS","-w","kg","swo",4600,838000,-5484,19.89,0.15,8.60959004068221,1
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","swo",2800,838000,-2833,19.63,0.09,7.94909149983052,1
1999,590,2,"AT","China P.R.","CHN","LL",-7.5,2.5,512000,"NO.HOOKS","-w","kg","swo",11000,838000,-4999,20.48,0.12,8.51699317141357,1
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,2.5,85000,"NO.HOOKS","-w","kg","swo",4000,838000,-5038,20.58,0.14,8.52476445691256,1
1999,590,2,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","swo",4200,838000,-3506,20.73,0.12,8.16223106548118,1
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,2.5,165000,"NO.HOOKS","-w","kg","swo",8500,838000,-3574,20.81,0.12,8.18144069571937,1
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,7.5,84000,"NO.HOOKS","-w","kg","swo",2300,838000,-4372,20.46,0.12,8.38297584929643,1
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,32.5,40000,"NO.HOOKS","-w","kg","bum",0,201000,-3871,15.98,0.11,8.26126815057765,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-2.5,85000,"NO.HOOKS","-w","kg","bum",0,201000,-2371,19.12,0.28,7.77106708606541,0
1999,590,2,"AT","China P.R.","CHN","LL",-22.5,-2.5,84000,"NO.HOOKS","-w","kg","bum",0,201000,-5484,19.89,0.15,8.60959004068221,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","bum",0,201000,-2833,19.63,0.09,7.94909149983052,0
1999,590,2,"AT","China P.R.","CHN","LL",-7.5,2.5,512000,"NO.HOOKS","-w","kg","bum",0,201000,-4999,20.48,0.12,8.51699317141357,0
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,2.5,85000,"NO.HOOKS","-w","kg","bum",0,201000,-5038,20.58,0.14,8.52476445691256,0
1999,590,2,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","bum",0,201000,-3506,20.73,0.12,8.16223106548118,0
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,2.5,165000,"NO.HOOKS","-w","kg","bum",0,201000,-3574,20.81,0.12,8.18144069571937,0
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,7.5,84000,"NO.HOOKS","-w","kg","bum",0,201000,-4372,20.46,0.12,8.38297584929643,0
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,32.5,40000,"NO.HOOKS","-w","kg","sai",0,17000,-3871,15.98,0.11,8.26126815057765,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-2.5,85000,"NO.HOOKS","-w","kg","sai",0,17000,-2371,19.12,0.28,7.77106708606541,0
1999,590,2,"AT","China P.R.","CHN","LL",-22.5,-2.5,84000,"NO.HOOKS","-w","kg","sai",0,17000,-5484,19.89,0.15,8.60959004068221,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","sai",0,17000,-2833,19.63,0.09,7.94909149983052,0
1999,590,2,"AT","China P.R.","CHN","LL",-7.5,2.5,512000,"NO.HOOKS","-w","kg","sai",0,17000,-4999,20.48,0.12,8.51699317141357,0
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,2.5,85000,"NO.HOOKS","-w","kg","sai",0,17000,-5038,20.58,0.14,8.52476445691256,0
1999,590,2,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","sai",0,17000,-3506,20.73,0.12,8.16223106548118,0
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,2.5,165000,"NO.HOOKS","-w","kg","sai",0,17000,-3574,20.81,0.12,8.18144069571937,0
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,7.5,84000,"NO.HOOKS","-w","kg","sai",0,17000,-4372,20.46,0.12,8.38297584929643,0
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,32.5,40000,"NO.HOOKS","-w","kg","whm",0,30000,-3871,15.98,0.11,8.26126815057765,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-2.5,85000,"NO.HOOKS","-w","kg","whm",0,30000,-2371,19.12,0.28,7.77106708606541,0
1999,590,2,"AT","China P.R.","CHN","LL",-22.5,-2.5,84000,"NO.HOOKS","-w","kg","whm",0,30000,-5484,19.89,0.15,8.60959004068221,0
1999,590,2,"AT","China P.R.","CHN","LL",-12.5,-7.5,84000,"NO.HOOKS","-w","kg","whm",0,30000,-2833,19.63,0.09,7.94909149983052,0
1999,590,2,"AT","China P.R.","CHN","LL",-7.5,2.5,512000,"NO.HOOKS","-w","kg","whm",0,30000,-4999,20.48,0.12,8.51699317141357,0
1999,590,2,"AT","China P.R.","CHN","LL",-17.5,2.5,85000,"NO.HOOKS","-w","kg","whm",0,30000,-5038,20.58,0.14,8.52476445691256,0
1999,590,2,"AT","China P.R.","CHN","LL",-27.5,2.5,83000,"NO.HOOKS","-w","kg","whm",0,30000,-3506,20.73,0.12,8.16223106548118,0
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,2.5,165000,"NO.HOOKS","-w","kg","whm",0,30000,-3574,20.81,0.12,8.18144069571937,0
1999,590,2,"AT","China P.R.","CHN","LL",-32.5,7.5,84000,"NO.HOOKS","-w","kg","whm",0,30000,-4372,20.46,0.12,8.38297584929643,0
1999,591,3,"AT","China P.R.","CHN","LL",-12.5,37.5,43000,"NO.HOOKS","-w","kg","alb",0,60000,-5121,14.53,0.26,8.54110501146255,0
1999,591,3,"AT","China P.R.","CHN","LL",-12.5,-7.5,158000,"NO.HOOKS","-w","kg","alb",0,60000,-2833,19.63,0.09,7.94909149983052,0
1999,591,3,"AT","China P.R.","CHN","LL",-17.5,-7.5,84000,"NO.HOOKS","-w","kg","alb",0,60000,-4297,19.78,0.08,8.365672383775,0
1999,591,3,"AT","China P.R.","CHN","LL",-12.5,2.5,480000,"NO.HOOKS","-w","kg","alb",3000,60000,-4730,20.36,0.17,8.46168048148598,1
1999,591,3,"AT","China P.R.","CHN","LL",-27.5,7.5,85000,"NO.HOOKS","-w","kg","alb",0,60000,-4202,20.35,0.12,8.34331588140495,0
1999,591,3,"AT","China P.R.","CHN","LL",-32.5,7.5,262000,"NO.HOOKS","-w","kg","alb",0,60000,-4372,20.46,0.12,8.38297584929643,0
1999,591,3,"AT","China P.R.","CHN","LL",-12.5,37.5,43000,"NO.HOOKS","-w","kg","bft",11300,103000,-5121,14.53,0.26,8.54110501146255,1
1999,591,3,"AT","China P.R.","CHN","LL",-12.5,-7.5,158000,"NO.HOOKS","-w","kg","bft",0,103000,-2833,19.63,0.09,7.94909149983052,0
1999,591,3,"AT","China P.R.","CHN","LL",-17.5,-7.5,84000,"NO.HOOKS","-w","kg","bft",0,103000,-4297,19.78,0.08,8.365672383775,0
1999,591,3,"AT","China P.R.","CHN","LL",-12.5,2.5,480000,"NO.HOOKS","-w","kg","bft",0,103000,-4730,20.36,0.17,8.46168048148598,0
1999,591,3,"AT","China P.R.","CHN","LL",-27.5,7.5,85000,"NO.HOOKS","-w","kg","bft",0,103000,-4202,20.35,0.12,8.34331588140495,0
1999,591,3,"AT","China P.R.","CHN","LL",-32.5,7.5,262000,"NO.HOOKS","-w","kg","bft",0,103000,-4372,20.46,0.12,8.38297584929643,0
1999,591,3,"AT","China P.R.","CHN","LL",-12.5,37.5,43000,"NO.HOOKS","-w","kg","bet",0,7347000,-5121,14.53,0.26,8.54110501146255,0
1999,591,3,"AT","China P.R.","CHN","LL",-12.5,-7.5,158000,"NO.HOOKS","-w","kg","bet",62900,7347000,-2833,19.63,0.09,7.94909149983052,1
1999,591,3,"AT","China P.R.","CHN","LL",-17.5,-7.5,84000,"NO.HOOKS","-w","kg","bet",30000,7347000,-4297,19.78,0.08,8.365672383775,1
1999,591,3,"AT","China P.R.","CHN","LL",-12.5,2.5,480000,"NO.HOOKS","-w","kg","bet",155500,7347000,-4730,20.36,0.17,8.46168048148598,1
1999,591,3,"AT","China P.R.","CHN","LL",-27.5,7.5,85000,"NO.HOOKS","-w","kg","bet",31600,7347000,-4202,20.35,0.12,8.34331588140495,1
1999,591,3,"AT","China P.R.","CHN","LL",-32.5,7.5,262000,"NO.HOOKS","-w","kg","bet",92500,7347000,-4372,20.46,0.12,8.38297584929643,1
1999,591,3,"AT","China P.R.","CHN","LL",-12.5,37.5,43000,"NO.HOOKS","-w","kg","skj",0,NA,-5121,14.53,0.26,8.54110501146255,0
1999,591,3,"AT","China P.R.","CHN","LL",-12.5,-7.5,158000,"NO.HOOKS","-w","kg","skj",0,NA,-2833,19.63,0.09,7.94909149983052,0
1999,591,3,"AT","China P.R.","CHN","LL",-17.5,-7.5,84000,"NO.HOOKS","-w","kg","skj",0,NA,-4297,19.78,0.08,8.365672383775,0
1999,591,3,"AT","China P.R.","CHN","LL",-12.5,2.5,480000,"NO.HOOKS","-w","kg","skj",0,NA,-4730,20.36,0.17,8.46168048148598,0
